,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_recod
22,0.514,SLB,9,2113.0601,0.5619999766349792,6.300000190734862,,,,Pacific
42,0.77499998,CRI,2,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719,LatAm
123,0.91299999,NZL,5,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531,WesternDem
101,0.89600003,LUX,5,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281,WesternDem
43,0.82300001,HRV,1,18020.41,4.23799991607666,4.5,3.225566625595093,4.5816001892089835,92.67062377929688,EastEurope
10,0.79000002,BHS,10,21672.029,0.3560000061988831,5.0,,,,Caribbean
0,0.479,AFG,8,1282.64,29.82500076293945,8.100000381469728,,3.780280113220215,48.75032043457031,SouthAsia
91,0.79900002,KWT,3,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047,NorthAfrica
158,0.88800001,SVN,1,24456.561,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344,EastEurope
82,0.88099998,ITA,5,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376,WesternDem
183,0.68800002,EGY,3,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672,NorthAfrica
132,0.78500003,PAN,2,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953,LatAm
45,0.85399997,CYP,3,27207.07,0.8579999804496765,4.5,5.188638210296631,6.138390064239503,94.71498107910156,NorthAfrica
